,category,subcategory,skill
0,Administration,Administrative Support,Memos
1,Administration,Administrative Support,Administrative Functions
2,Administration,Dictation,Transcribing
3,Administration,Document Management,VoiceXML
4,Administration,Document Management,Document Production
5,Administration,Document Management,Electronic Documents
6,Administration,General Administrative and Clerical Tasks,Data Entry
7,Administration,General Administrative and Clerical Tasks,Filing
8,Administration,General Administrative and Clerical Tasks,Organizational Skills
9,Administration,General Administrative and Clerical Tasks,Registration
10,Administration,General Administrative and Clerical Tasks,File Management
11,Administration,General Administrative and Clerical Tasks,Typing
12,Administration,General Administrative and Clerical Tasks,Word Processing
13,Administration,Office Management,Front Office
14,Administration,Office and Productivity Software,Microsoft Office
15,Administration,Office and Productivity Software,Office 365 Exchange Online
16,Administration,Office and Productivity Software,Atlassian Confluence
17,Administration,Office and Productivity Software,Libreoffice
18,Administration,Office and Productivity Software,Microsoft Outlook
19,Administration,Office and Productivity Software,Microsoft Excel
20,Administration,Office and Productivity Software,Spreadsheets
21,Administration,Office and Productivity Software,Office 365 Administration
22,Administration,Office and Productivity Software,Microsoft Teams
23,Administration,Office and Productivity Software,Microsoft Office 365
24,Administration,Office and Productivity Software,Microsoft PowerPoint
25,Administration,Office and Productivity Software,Microsoft 365
26,Administration,Office and Productivity Software,Microsoft Access
27,Administration,Office and Productivity Software,Google Sheets
28,Administration,Office and Productivity Software,Camtasia Studio
29,Administration,Scheduling Subcategory,Prioritization
30,Administration,Scheduling Subcategory,Scheduling
31,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Market Garden
32,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agricultural Productivity
33,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agriculture
34,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agricultural Economics
35,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Precision Agriculture
36,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agroecology
37,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Soil Biology
38,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Soil Fertility
39,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agrochemicals
40,"Agriculture, Horticulture, and Landscaping",Aquaculture Subcategory,Aquaponics
41,"Agriculture, Horticulture, and Landscaping",Aquaculture Subcategory,Aquaculture
42,"Agriculture, Horticulture, and Landscaping",Aquaculture Subcategory,Fisheries Management
43,"Agriculture, Horticulture, and Landscaping",Cannabis Subcategory,Cannabis
44,"Agriculture, Horticulture, and Landscaping",Cannabis Subcategory,Medical Cannabis
45,"Agriculture, Horticulture, and Landscaping",Crop Farming,Crop Production
46,"Agriculture, Horticulture, and Landscaping",Crop Farming,Viticulture
47,"Agriculture, Horticulture, and Landscaping",Crop Farming,Agronomy
48,"Agriculture, Horticulture, and Landscaping",Crop Farming,Tillage
49,"Agriculture, Horticulture, and Landscaping",Crop Farming,Composting
50,"Agriculture, Horticulture, and Landscaping",Crop Farming,Drip Irrigation
51,"Agriculture, Horticulture, and Landscaping",Landscaping and Yard Care,Landscaping
52,"Agriculture, Horticulture, and Landscaping",Landscaping and Yard Care,Landscape Architecture
53,"Agriculture, Horticulture, and Landscaping",Landscaping and Yard Care,Aeration
54,"Agriculture, Horticulture, and Landscaping",Landscaping and Yard Care,Pruning
55,"Agriculture, Horticulture, and Landscaping",Landscaping and Yard Care,Pesticides
56,"Agriculture, Horticulture, and Landscaping",Landscaping and Yard Care,Irrigation (Landscaping And Agriculture)
57,"Agriculture, Horticulture, and Landscaping",Livestock Farming,Animal Reproduction
58,"Agriculture, Horticulture, and Landscaping",Livestock Farming,Stock Farming
59,"Agriculture, Horticulture, and Landscaping",Livestock Farming,Animal Production
60,Analysis,Business Intelligence Subcategory,Business Simulation
61,Analysis,Business Intelligence Subcategory,Business Analytics
62,Analysis,Business Intelligence Subcategory,Business Informatics
63,Analysis,Business Intelligence Subcategory,Decision Support Systems
64,Analysis,Business Intelligence Subcategory,Service Strategy
65,Analysis,Business Intelligence Subcategory,Business Intelligence
66,Analysis,Business Intelligence Subcategory,Online Analytical Processing
67,Analysis,Business Intelligence Subcategory,Organizational Intelligence
68,Analysis,Business Intelligence Software,Power BI
69,Analysis,Business Intelligence Software,Reporting Tools
70,Analysis,Business Intelligence Software,Business Intelligence Tools
71,Analysis,Business Intelligence Software,Digital Dashboards
72,Analysis,Business Intelligence Software,IBM Cognos Business Intelligence
73,Analysis,Business Intelligence Software,Tableau (Business Intelligence Software)
74,Analysis,Data Analysis Subcategory,Exponential Smoothing
75,Analysis,Data Analysis Subcategory,Time Series
76,Analysis,Data Analysis Subcategory,Traffic Patterns
77,Analysis,Data Analysis Subcategory,Self Service Technologies
78,Analysis,Data Analysis Subcategory,Logic Analyzer
79,Analysis,Data Analysis Subcategory,Data Synthesis
80,Analysis,Data Analysis Subcategory,Pattern Matching
81,Analysis,Data Analysis Subcategory,Data Validation
82,Analysis,Data Analysis Subcategory,Drilldown
83,Analysis,Data Analysis Subcategory,Sports Analytics
84,Analysis,Data Analysis Subcategory,Pivot Tables And Charts
85,Analysis,Data Analysis Subcategory,Exploratory Data Analysis
86,Analysis,Data Analysis Subcategory,Link Analysis
87,Analysis,Data Analysis Subcategory,Analytics
88,Analysis,Data Analysis Subcategory,Transaction Data
89,Analysis,Data Analysis Subcategory,Optimal Design
90,Analysis,Data Analysis Subcategory,Control Chart
91,Analysis,Data Analysis Subcategory,Vertica
92,Analysis,Data Analysis Subcategory,Data-Flow Analysis
93,Analysis,Data Analysis Subcategory,Visual Analytics
94,Analysis,Data Analysis Subcategory,Data Discovery
95,Analysis,Data Analysis Subcategory,Data Modeling
96,Analysis,Data Analysis Subcategory,Data Analysis
97,Analysis,Data Analysis Subcategory,Forecasting
98,Analysis,Data Analysis Subcategory,Conceptual Framework
99,Analysis,Data Analysis Subcategory,Excel Formulas
100,Analysis,Data Analysis Subcategory,Dashboard
101,Analysis,Data Analysis Subcategory,Missing Data
102,Analysis,Data Analysis Subcategory,Quantitative Data Analysis
103,Analysis,Data Analysis Subcategory,Randomization
104,Analysis,Data Analysis Subcategory,Cluster Analysis
105,Analysis,Data Science Subcategory,Data Mining
106,Analysis,Data Science Subcategory,Web Mining
107,Analysis,Data Science Subcategory,Ontologies
108,Analysis,Data Science Subcategory,RapidMiner
109,Analysis,Data Science Subcategory,Human Readable
110,Analysis,Data Science Subcategory,Principal Component Analysis
111,Analysis,Data Science Subcategory,K-Means Clustering
112,Analysis,Data Science Subcategory,Data Cleansing
113,Analysis,Data Science Subcategory,Star Schema
114,Analysis,Data Science Subcategory,Shortest Path Problem
115,Analysis,Data Science Subcategory,Text Processing
116,Analysis,Data Science Subcategory,Jupyter
117,Analysis,Data Science Subcategory,Rmarkdown
118,Analysis,Data Science Subcategory,Big Data
119,Analysis,Data Science Subcategory,Graph Algorithms
120,Analysis,Data Science Subcategory,Predictive Modeling
121,Analysis,Data Science Subcategory,Data Manipulation
122,Analysis,Data Science Subcategory,Decision Tree Learning
123,Analysis,Data Science Subcategory,Factor Analysis
124,Analysis,Data Science Subcategory,Directed Acyclic Graph (Directed Graphs)
125,Analysis,Data Science Subcategory,Text Mining
126,Analysis,Data Science Subcategory,Pattern Recognition
127,Analysis,Data Science Subcategory,RStudio
128,Analysis,Data Science Subcategory,Predictive Analytics
129,Analysis,Data Science Subcategory,Data Ingestion
130,Analysis,Data Science Subcategory,Knowledge Graph
131,Analysis,Data Science Subcategory,Data Reduction
132,Analysis,Data Science Subcategory,Information Processing
133,Analysis,Data Science Subcategory,Markov Chain
134,Analysis,Data Science Subcategory,Data Preprocessing
135,Analysis,Data Science Subcategory,Data Layers
136,Analysis,Data Science Subcategory,Data Blending
137,Analysis,Data Science Subcategory,Knowledge Discovery
138,Analysis,Data Science Subcategory,Information Retrieval
139,Analysis,Data Science Subcategory,Causal Inference
140,Analysis,Data Science Subcategory,Data Pipeline
141,Analysis,Data Science Subcategory,Stream Processing
142,Analysis,Data Science Subcategory,Convex Optimization
143,Analysis,Data Science Subcategory,Technical Analysis
144,Analysis,Data Science Subcategory,Normalization Processes
145,Analysis,Data Science Subcategory,Monte Carlo Methods
146,Analysis,Data Science Subcategory,Data Engineering
147,Analysis,Data Science Subcategory,Complexity Theory
148,Analysis,Data Science Subcategory,Weka
149,Analysis,Data Science Subcategory,Data Capture (SQL)
150,Analysis,Data Science Subcategory,Data Selection
151,Analysis,Data Science Subcategory,Hdinsight
152,Analysis,Data Science Subcategory,Jupyter Notebook
153,Analysis,Data Science Subcategory,Metadata
154,Analysis,Data Science Subcategory,Pandas (Python Package)
155,Analysis,Data Science Subcategory,Naive Bayes Classifier
156,Analysis,Data Science Subcategory,Data Science
157,Analysis,Data Science Subcategory,Informatics
158,Analysis,Data Science Subcategory,MapReduce
159,Analysis,Data Science Subcategory,Autoregressive Model
160,Analysis,Data Science Subcategory,Information Sciences
161,Analysis,Data Science Subcategory,Pyspark
162,Analysis,Data Science Subcategory,Markov Chain Monte Carlo
163,Analysis,Data Science Subcategory,Naive Bayes
164,Analysis,Data Science Subcategory,Sqoop
165,Analysis,Data Science Subcategory,Real Time Data
166,Analysis,Data Science Subcategory,Snowflake Schema
167,Analysis,Data Visualization Subcategory,Block Diagram
168,Analysis,Data Visualization Subcategory,Matplotlib
169,Analysis,Data Visualization Subcategory,Shiny (R Package)
170,Analysis,Data Visualization Subcategory,Data Storytelling
171,Analysis,Data Visualization Subcategory,Data Visualization
172,Analysis,Data Visualization Subcategory,Scientific Visualization
173,Analysis,Data Visualization Subcategory,Apple Numbers
174,Analysis,Data Visualization Subcategory,Ggplot2
175,Analysis,Data Visualization Subcategory,Sparklines
176,Analysis,Data Visualization Subcategory,Histogram
177,Analysis,Data Visualization Subcategory,Kibana
178,Analysis,Data Visualization Subcategory,Graphing
179,Analysis,Data Visualization Subcategory,Scatter Plots
180,Analysis,Image Analysis Subcategory,Image Analysis
181,Analysis,Image Analysis Subcategory,Contextual Image Classification
182,Analysis,Image Analysis Subcategory,Object Detection
183,Analysis,Image Analysis Subcategory,Deconvolution
184,Analysis,Image Analysis Subcategory,Amazon Rekognition
185,Analysis,Mathematical Software,MATLAB
186,Analysis,Mathematical Software,NumPy
187,Analysis,Mathematics and Mathematical Modeling,Discretization
188,Analysis,Mathematics and Mathematical Modeling,Combinatorics
189,Analysis,Mathematics and Mathematical Modeling,Numerical Linear Algebra
190,Analysis,Mathematics and Mathematical Modeling,Uncertainty Quantification
191,Analysis,Mathematics and Mathematical Modeling,Cross Product
192,Analysis,Mathematics and Mathematical Modeling,Trigonometry
193,Analysis,Mathematics and Mathematical Modeling,Basic Math
194,Analysis,Mathematics and Mathematical Modeling,Contingency Tables
195,Analysis,Mathematics and Mathematical Modeling,Mathematical Analysis
196,Analysis,Mathematics and Mathematical Modeling,Robust Control
197,Analysis,Mathematics and Mathematical Modeling,Business Mathematics
198,Analysis,Mathematics and Mathematical Modeling,Cryptanalysis
199,Analysis,Mathematics and Mathematical Modeling,Number Theory
200,Analysis,Mathematics and Mathematical Modeling,Discrete Mathematics
201,Analysis,Mathematics and Mathematical Modeling,Standard Deviation
202,Analysis,Mathematics and Mathematical Modeling,Topic Modeling
203,Analysis,Mathematics and Mathematical Modeling,Quadratic Equations
204,Analysis,Mathematics and Mathematical Modeling,Numerical Analysis
205,Analysis,Mathematics and Mathematical Modeling,Calculations
206,Analysis,Mathematics and Mathematical Modeling,Integer Programming
207,Analysis,Mathematics and Mathematical Modeling,Integral Calculus
208,Analysis,Mathematics and Mathematical Modeling,Stochastic Process
209,Analysis,Mathematics and Mathematical Modeling,Applied Mathematics
210,Analysis,Mathematics and Mathematical Modeling,Systems Of Measurement
211,Analysis,Mathematics and Mathematical Modeling,Vector Calculus
212,Analysis,Mathematics and Mathematical Modeling,Mathematical Sciences
213,Analysis,Mathematics and Mathematical Modeling,Calculus
214,Analysis,Mathematics and Mathematical Modeling,Theory Of Computation
215,Analysis,Mathematics and Mathematical Modeling,Boundary Value Problem
216,Analysis,Mathematics and Mathematical Modeling,Mathematical Physics
217,Analysis,Mathematics and Mathematical Modeling,Geometry
218,Analysis,Mathematics and Mathematical Modeling,Partial Differential Equation
219,Analysis,Mathematics and Mathematical Modeling,Mathematical Optimization
220,Analysis,Mathematics and Mathematical Modeling,Systems Of Equations
221,Analysis,Mathematics and Mathematical Modeling,Differential Equations
222,Analysis,Mathematics and Mathematical Modeling,Mathematical Modeling
223,Analysis,Mathematics and Mathematical Modeling,Analysis Of Variance (ANOVA)
224,Analysis,Mathematics and Mathematical Modeling,Algebra
225,Analysis,Mathematics and Mathematical Modeling,Probability Theories
226,Analysis,Mathematics and Mathematical Modeling,Differential Calculus
227,Analysis,Mathematics and Mathematical Modeling,Fourier Transform
228,Analysis,Mathematics and Mathematical Modeling,Topology
229,Analysis,Mathematics and Mathematical Modeling,Linear Algebra
230,Analysis,Mathematics and Mathematical Modeling,Quantitative Analysis
231,Analysis,Mathematics and Mathematical Modeling,Digital Logic
232,Analysis,Mathematics and Mathematical Modeling,Game Theory
233,Analysis,Mathematics and Mathematical Modeling,Multivariable Calculus
234,Analysis,Mathematics and Mathematical Modeling,Graph Theory
235,Analysis,Mathematics and Mathematical Modeling,Optimal Control
236,Analysis,Mathematics and Mathematical Modeling,Computational Mathematics
237,Analysis,Mathematics and Mathematical Modeling,Stochastic Modeling
238,Analysis,Mathematics and Mathematical Modeling,Regression Analysis
239,Analysis,Mathematics and Mathematical Modeling,Linear Systems
240,Analysis,Mathematics and Mathematical Modeling,Nonlinear Programming
241,Analysis,Mathematics and Mathematical Modeling,Matrix Algebra
242,Analysis,Mathematics and Mathematical Modeling,Advanced Mathematics
243,Analysis,Mathematics and Mathematical Modeling,Curve Fitting
244,Analysis,Mathematics and Mathematical Modeling,Dynamical Systems
245,Analysis,Mathematics and Mathematical Modeling,Analytic Geometry
246,Analysis,Mathematics and Mathematical Modeling,Mathematical Logic
247,Analysis,Mathematics and Mathematical Modeling,Linear Equations
248,Analysis,Mathematics and Mathematical Modeling,Stochastic Optimization
249,Analysis,Mathematics and Mathematical Modeling,Probability
250,Analysis,Mathematics and Mathematical Modeling,Floating Point Algorithm
251,Analysis,Mathematics and Mathematical Modeling,Queueing Theory
252,Analysis,Mathematics and Mathematical Modeling,State Space
253,Analysis,Mathematics and Mathematical Modeling,Dimensional Analysis
254,Analysis,Mathematics and Mathematical Modeling,Combinational Logic
255,Analysis,Mathematics and Mathematical Modeling,Finite Difference
256,Analysis,Mathematics and Mathematical Modeling,Computational Geometry
257,Analysis,Mathematics and Mathematical Modeling,Discrete Optimization
258,Analysis,Mathematics and Mathematical Modeling,Linear Programming
259,Analysis,Natural Language Processing (NLP),Natural Language Processing
260,Analysis,Natural Language Processing (NLP),Computational Linguistics
261,Analysis,Natural Language Processing (NLP),Sentiment Analysis
262,Analysis,Natural Language Processing (NLP),Word Embedding
263,Analysis,Natural Language Processing (NLP),Machine Translation
264,Analysis,Natural Language Processing (NLP),Speech Synthesis
265,Analysis,Natural Language Processing (NLP),Natural Language Understanding
266,Analysis,Natural Language Processing (NLP),Voice Assistant Technology
267,Analysis,Natural Language Processing (NLP),Speech Recognition
268,Analysis,Statistical Software Subcategory,Stata
269,Analysis,Statistical Software Subcategory,SPSS (Statistical Software)
270,Analysis,Statistical Software Subcategory,Statistical Packages
271,Analysis,Statistical Software Subcategory,STATISTICA
272,Analysis,Statistical Software Subcategory,Statistical Software
273,Analysis,Statistics Subcategory,Dimensionality Reduction
274,Analysis,Statistics Subcategory,Multiple Linear Regression
275,Analysis,Statistics Subcategory,Estimation Theories
276,Analysis,Statistics Subcategory,Observational Error
277,Analysis,Statistics Subcategory,Statistical Learning Theory
278,Analysis,Statistics Subcategory,Statistical Theory
279,Analysis,Statistics Subcategory,Sampling Design
280,Analysis,Statistics Subcategory,Bayesian Inference
281,Analysis,Statistics Subcategory,Statistical Thinking
